|_ID|HO_LLEGA|P|T|T_TRAFICO|
|001|20:43:39|2|4|CICLISTA |
|002|20:43:40|3|5|AUTOMOVIL|
|003|20:43:44|2|3|CICLISTA |
|004|20:43:47|1|1|PEATON   |
|005|20:43:50|3|5|AUTOMOVIL|
|006|20:43:53|1|4|PEATON   |
|007|20:43:57|3|2|AUTOMOVIL|
|008|20:43:58|3|1|AUTOMOVIL|
|009|20:43:59|1|5|PEATON   |
|010|20:44:00|1|3|PEATON   |
|011|20:44:04|3|5|AUTOMOVIL|
|012|20:44:06|3|4|AUTOMOVIL|
|013|20:44:08|2|3|CICLISTA |
|014|20:44:12|2|4|CICLISTA |
|015|20:44:13|2|1|CICLISTA |
|016|20:44:16|2|2|CICLISTA |
|017|20:44:20|2|1|CICLISTA |
|018|20:44:22|2|5|CICLISTA |
|019|20:44:25|2|5|CICLISTA |
|020|20:44:29|2|5|CICLISTA |
|021|20:44:31|1|3|PEATON   |
|022|20:44:33|1|3|PEATON   |
|023|20:44:34|2|2|CICLISTA |
|024|20:44:36|1|2|PEATON   |
|025|20:44:39|3|3|AUTOMOVIL|
|026|20:44:40|3|2|AUTOMOVIL|
|027|20:44:42|1|5|PEATON   |
|028|20:44:46|3|5|AUTOMOVIL|
|029|20:44:47|3|5|AUTOMOVIL|
|030|20:44:50|3|5|AUTOMOVIL|
|031|20:44:52|2|4|CICLISTA |
|032|20:44:55|1|5|PEATON   |
|033|20:44:57|3|2|AUTOMOVIL|
|034|20:44:58|3|4|AUTOMOVIL|
|035|20:44:59|3|3|AUTOMOVIL|
|036|20:45:02|1|3|PEATON   |
|037|20:45:04|3|3|AUTOMOVIL|
|038|20:45:06|2|3|CICLISTA |
|039|20:45:09|1|1|PEATON   |
|040|20:45:11|3|5|AUTOMOVIL|
|041|20:45:12|2|4|CICLISTA |
|042|20:45:15|1|3|PEATON   |
|043|20:45:17|1|4|PEATON   |
|044|20:45:20|3|3|AUTOMOVIL|
|045|20:45:22|2|2|CICLISTA |
|046|20:45:25|1|5|PEATON   |
|047|20:45:29|1|1|PEATON   |
|048|20:45:33|1|1|PEATON   |
|049|20:45:37|2|4|CICLISTA |
|050|20:45:41|3|5|AUTOMOVIL|
|051|20:45:44|3|3|AUTOMOVIL|
|052|20:45:47|2|1|CICLISTA |
|053|20:45:51|1|3|PEATON   |
|054|20:45:52|3|4|AUTOMOVIL|
|055|20:45:55|3|2|AUTOMOVIL|
|056|20:45:58|2|2|CICLISTA |
|057|20:46:00|2|4|CICLISTA |
|058|20:46:01|2|3|CICLISTA |
|059|20:46:05|1|2|PEATON   |
|060|20:46:07|3|1|AUTOMOVIL|
|061|20:46:09|3|5|AUTOMOVIL|
|062|20:46:12|3|5|AUTOMOVIL|
|063|20:46:15|1|3|PEATON   |
|064|20:46:16|1|3|PEATON   |
|065|20:46:20|1|2|PEATON   |
|066|20:46:24|3|3|AUTOMOVIL|
|067|20:46:26|2|1|CICLISTA |
|068|20:46:30|1|3|PEATON   |
|069|20:46:31|2|1|CICLISTA |
|070|20:46:35|3|3|AUTOMOVIL|
|071|20:46:38|1|3|PEATON   |
|072|20:46:40|2|2|CICLISTA |
|073|20:46:43|3|2|AUTOMOVIL|
|074|20:46:46|3|1|AUTOMOVIL|
|075|20:46:49|1|5|PEATON   |
|076|20:46:53|3|5|AUTOMOVIL|
|077|20:46:57|1|3|PEATON   |
|078|20:47:00|3|5|AUTOMOVIL|
|079|20:47:04|3|4|AUTOMOVIL|
|080|20:47:06|1|4|PEATON   |
|081|20:47:08|3|5|AUTOMOVIL|
|082|20:47:12|2|3|CICLISTA |
|083|20:47:13|2|4|CICLISTA |
|084|20:47:14|1|4|PEATON   |
|085|20:47:15|2|4|CICLISTA |
|086|20:47:17|1|4|PEATON   |
|087|20:47:18|3|5|AUTOMOVIL|
|088|20:47:20|1|1|PEATON   |
|089|20:47:22|2|3|CICLISTA |
|090|20:47:24|1|5|PEATON   |
|091|20:47:28|2|2|CICLISTA |
|092|20:47:30|1|1|PEATON   |
|093|20:47:34|3|3|AUTOMOVIL|
|094|20:47:36|1|2|PEATON   |
|095|20:47:39|3|5|AUTOMOVIL|
|096|20:47:43|2|1|CICLISTA |
|097|20:47:47|1|5|PEATON   |
|098|20:47:50|3|5|AUTOMOVIL|
|099|20:47:51|2|2|CICLISTA |
|100|20:47:52|2|3|CICLISTA |
|101|20:47:56|1|3|PEATON   |
|102|20:48:00|1|5|PEATON   |
|103|20:48:02|3|2|AUTOMOVIL|
|104|20:48:05|1|1|PEATON   |
|105|20:48:08|2|1|CICLISTA |
|106|20:48:12|3|4|AUTOMOVIL|
|107|20:48:14|1|2|PEATON   |
|108|20:48:15|3|1|AUTOMOVIL|
|109|20:48:19|1|5|PEATON   |
|110|20:48:21|2|4|CICLISTA |
|111|20:48:23|1|2|PEATON   |
|112|20:48:25|3|1|AUTOMOVIL|
|113|20:48:26|3|5|AUTOMOVIL|
|114|20:48:28|1|3|PEATON   |
|115|20:48:29|2|4|CICLISTA |
|116|20:48:30|3|4|AUTOMOVIL|
|117|20:48:34|1|2|PEATON   |
|118|20:48:35|1|5|PEATON   |
|119|20:48:38|3|1|AUTOMOVIL|
|120|20:48:41|1|2|PEATON   |
|121|20:48:44|1|2|PEATON   |
|122|20:48:46|2|3|CICLISTA |
|123|20:48:50|2|5|CICLISTA |
|124|20:48:54|1|5|PEATON   |
|125|20:48:58|2|1|CICLISTA |
|126|20:49:02|3|3|AUTOMOVIL|
|127|20:49:04|2|4|CICLISTA |
|128|20:49:05|2|1|CICLISTA |
|129|20:49:08|3|4|AUTOMOVIL|
|130|20:49:10|3|1|AUTOMOVIL|
|131|20:49:13|3|4|AUTOMOVIL|
|132|20:49:16|1|3|PEATON   |
|133|20:49:20|3|3|AUTOMOVIL|
|134|20:49:23|2|3|CICLISTA |
|135|20:49:26|1|3|PEATON   |
|136|20:49:27|2|4|CICLISTA |
|137|20:49:28|2|4|CICLISTA |
|138|20:49:32|3|4|AUTOMOVIL|
|139|20:49:36|2|2|CICLISTA |
|140|20:49:37|1|2|PEATON   |
|141|20:49:40|1|5|PEATON   |
|142|20:49:42|1|1|PEATON   |
|143|20:49:44|3|5|AUTOMOVIL|
|144|20:49:46|1|3|PEATON   |
|145|20:49:47|2|1|CICLISTA |
|146|20:49:49|2|5|CICLISTA |
|147|20:49:50|2|3|CICLISTA |
|148|20:49:53|1|2|PEATON   |
|149|20:49:54|2|3|CICLISTA |
|150|20:49:57|2|3|CICLISTA |
|151|20:50:00|2|2|CICLISTA |
|152|20:50:02|1|5|PEATON   |
|153|20:50:05|2|4|CICLISTA |
|154|20:50:09|1|2|PEATON   |
|155|20:50:12|3|1|AUTOMOVIL|
|156|20:50:13|3|1|AUTOMOVIL|
|157|20:50:17|2|5|CICLISTA |
|158|20:50:21|1|2|PEATON   |
|159|20:50:22|2|4|CICLISTA |
|160|20:50:23|2|3|CICLISTA |
|161|20:50:26|3|4|AUTOMOVIL|
|162|20:50:27|3|5|AUTOMOVIL|
|163|20:50:28|2|4|CICLISTA |
|164|20:50:29|2|5|CICLISTA |
|165|20:50:31|2|2|CICLISTA |
|166|20:50:33|2|2|CICLISTA |
|167|20:50:34|3|2|AUTOMOVIL|
|168|20:50:36|1|4|PEATON   |
|169|20:50:40|1|1|PEATON   |
|170|20:50:43|3|1|AUTOMOVIL|
|171|20:50:45|2|2|CICLISTA |
|172|20:50:47|1|3|PEATON   |
|173|20:50:51|1|1|PEATON   |
|174|20:50:53|1|4|PEATON   |
|175|20:50:54|1|5|PEATON   |
|176|20:50:58|1|5|PEATON   |
|177|20:51:00|2|3|CICLISTA |
|178|20:51:03|2|2|CICLISTA |
|179|20:51:04|2|4|CICLISTA |
