|_ID|HO_LLEGA|P|TIME_P|T_TRAFICO|
|002|20:43:40|3|5|AUTOMOVIL|
|005|20:43:50|3|5|AUTOMOVIL|
|007|20:43:57|3|2|AUTOMOVIL|
|008|20:43:58|3|1|AUTOMOVIL|
|011|20:44:04|3|5|AUTOMOVIL|
|012|20:44:06|3|4|AUTOMOVIL|
|025|20:44:39|3|3|AUTOMOVIL|
|026|20:44:40|3|2|AUTOMOVIL|
|028|20:44:46|3|5|AUTOMOVIL|
|029|20:44:47|3|5|AUTOMOVIL|
|030|20:44:50|3|5|AUTOMOVIL|
|033|20:44:57|3|2|AUTOMOVIL|
|034|20:44:58|3|4|AUTOMOVIL|
|035|20:44:59|3|3|AUTOMOVIL|
|037|20:45:04|3|3|AUTOMOVIL|
|040|20:45:11|3|5|AUTOMOVIL|
|044|20:45:20|3|3|AUTOMOVIL|
|050|20:45:41|3|5|AUTOMOVIL|
|051|20:45:44|3|3|AUTOMOVIL|
|054|20:45:52|3|4|AUTOMOVIL|
|055|20:45:55|3|2|AUTOMOVIL|
|060|20:46:07|3|1|AUTOMOVIL|
|061|20:46:09|3|5|AUTOMOVIL|
|062|20:46:12|3|5|AUTOMOVIL|
|066|20:46:24|3|3|AUTOMOVIL|
|070|20:46:35|3|3|AUTOMOVIL|
|073|20:46:43|3|2|AUTOMOVIL|
|074|20:46:46|3|1|AUTOMOVIL|
|076|20:46:53|3|5|AUTOMOVIL|
|078|20:47:00|3|5|AUTOMOVIL|
|079|20:47:04|3|4|AUTOMOVIL|
|081|20:47:08|3|5|AUTOMOVIL|
|087|20:47:18|3|5|AUTOMOVIL|
|093|20:47:34|3|3|AUTOMOVIL|
|095|20:47:39|3|5|AUTOMOVIL|
|098|20:47:50|3|5|AUTOMOVIL|
|103|20:48:02|3|2|AUTOMOVIL|
|106|20:48:12|3|4|AUTOMOVIL|
|108|20:48:15|3|1|AUTOMOVIL|
|112|20:48:25|3|1|AUTOMOVIL|
|113|20:48:26|3|5|AUTOMOVIL|
|116|20:48:30|3|4|AUTOMOVIL|
|119|20:48:38|3|1|AUTOMOVIL|
|126|20:49:02|3|3|AUTOMOVIL|
|129|20:49:08|3|4|AUTOMOVIL|
|130|20:49:10|3|1|AUTOMOVIL|
|131|20:49:13|3|4|AUTOMOVIL|
|133|20:49:20|3|3|AUTOMOVIL|
|138|20:49:32|3|4|AUTOMOVIL|
|143|20:49:44|3|5|AUTOMOVIL|
|155|20:50:12|3|1|AUTOMOVIL|
|156|20:50:13|3|1|AUTOMOVIL|
|161|20:50:26|3|4|AUTOMOVIL|
|162|20:50:27|3|5|AUTOMOVIL|
|167|20:50:34|3|2|AUTOMOVIL|
|170|20:50:43|3|1|AUTOMOVIL|
