|_ID|HO_LLEGA|P|TIME_P|T_TRAFICO|
|001|20:43:39|2|4|CICLISTA |
|003|20:43:44|2|3|CICLISTA |
|013|20:44:08|2|3|CICLISTA |
|014|20:44:12|2|4|CICLISTA |
|015|20:44:13|2|1|CICLISTA |
|016|20:44:16|2|2|CICLISTA |
|017|20:44:20|2|1|CICLISTA |
|018|20:44:22|2|5|CICLISTA |
|019|20:44:25|2|5|CICLISTA |
|020|20:44:29|2|5|CICLISTA |
|023|20:44:34|2|2|CICLISTA |
|031|20:44:52|2|4|CICLISTA |
|038|20:45:06|2|3|CICLISTA |
|041|20:45:12|2|4|CICLISTA |
|045|20:45:22|2|2|CICLISTA |
|049|20:45:37|2|4|CICLISTA |
|052|20:45:47|2|1|CICLISTA |
|056|20:45:58|2|2|CICLISTA |
|057|20:46:00|2|4|CICLISTA |
|058|20:46:01|2|3|CICLISTA |
|067|20:46:26|2|1|CICLISTA |
|069|20:46:31|2|1|CICLISTA |
|072|20:46:40|2|2|CICLISTA |
|082|20:47:12|2|3|CICLISTA |
|083|20:47:13|2|4|CICLISTA |
|085|20:47:15|2|4|CICLISTA |
|089|20:47:22|2|3|CICLISTA |
|091|20:47:28|2|2|CICLISTA |
|096|20:47:43|2|1|CICLISTA |
|099|20:47:51|2|2|CICLISTA |
|100|20:47:52|2|3|CICLISTA |
|105|20:48:08|2|1|CICLISTA |
|110|20:48:21|2|4|CICLISTA |
|115|20:48:29|2|4|CICLISTA |
|122|20:48:46|2|3|CICLISTA |
|123|20:48:50|2|5|CICLISTA |
|125|20:48:58|2|1|CICLISTA |
|127|20:49:04|2|4|CICLISTA |
|128|20:49:05|2|1|CICLISTA |
|134|20:49:23|2|3|CICLISTA |
|136|20:49:27|2|4|CICLISTA |
|137|20:49:28|2|4|CICLISTA |
|139|20:49:36|2|2|CICLISTA |
|145|20:49:47|2|1|CICLISTA |
|146|20:49:49|2|5|CICLISTA |
|147|20:49:50|2|3|CICLISTA |
|149|20:49:54|2|3|CICLISTA |
|150|20:49:57|2|3|CICLISTA |
|151|20:50:00|2|2|CICLISTA |
|153|20:50:05|2|4|CICLISTA |
|157|20:50:17|2|5|CICLISTA |
|159|20:50:22|2|4|CICLISTA |
|160|20:50:23|2|3|CICLISTA |
|163|20:50:28|2|4|CICLISTA |
|164|20:50:29|2|5|CICLISTA |
|165|20:50:31|2|2|CICLISTA |
|166|20:50:33|2|2|CICLISTA |
|171|20:50:45|2|2|CICLISTA |
|177|20:51:00|2|3|CICLISTA |
|178|20:51:03|2|2|CICLISTA |
|179|20:51:04|2|4|CICLISTA |
