|_ID|HO_LLEGA|P|TIME_P|T_TRAFICO|
|004|20:43:47|1|1|PEATON   |
|006|20:43:53|1|4|PEATON   |
|009|20:43:59|1|5|PEATON   |
|010|20:44:00|1|3|PEATON   |
|021|20:44:31|1|3|PEATON   |
|022|20:44:33|1|3|PEATON   |
|024|20:44:36|1|2|PEATON   |
|027|20:44:42|1|5|PEATON   |
|032|20:44:55|1|5|PEATON   |
|036|20:45:02|1|3|PEATON   |
|039|20:45:09|1|1|PEATON   |
|042|20:45:15|1|3|PEATON   |
|043|20:45:17|1|4|PEATON   |
|046|20:45:25|1|5|PEATON   |
|047|20:45:29|1|1|PEATON   |
|048|20:45:33|1|1|PEATON   |
|053|20:45:51|1|3|PEATON   |
|059|20:46:05|1|2|PEATON   |
|063|20:46:15|1|3|PEATON   |
|064|20:46:16|1|3|PEATON   |
|065|20:46:20|1|2|PEATON   |
|068|20:46:30|1|3|PEATON   |
|071|20:46:38|1|3|PEATON   |
|075|20:46:49|1|5|PEATON   |
|077|20:46:57|1|3|PEATON   |
|080|20:47:06|1|4|PEATON   |
|084|20:47:14|1|4|PEATON   |
|086|20:47:17|1|4|PEATON   |
|088|20:47:20|1|1|PEATON   |
|090|20:47:24|1|5|PEATON   |
|092|20:47:30|1|1|PEATON   |
|094|20:47:36|1|2|PEATON   |
|097|20:47:47|1|5|PEATON   |
|101|20:47:56|1|3|PEATON   |
|102|20:48:00|1|5|PEATON   |
|104|20:48:05|1|1|PEATON   |
|107|20:48:14|1|2|PEATON   |
|109|20:48:19|1|5|PEATON   |
|111|20:48:23|1|2|PEATON   |
|114|20:48:28|1|3|PEATON   |
|117|20:48:34|1|2|PEATON   |
|118|20:48:35|1|5|PEATON   |
|120|20:48:41|1|2|PEATON   |
|121|20:48:44|1|2|PEATON   |
|124|20:48:54|1|5|PEATON   |
|132|20:49:16|1|3|PEATON   |
|135|20:49:26|1|3|PEATON   |
|140|20:49:37|1|2|PEATON   |
|141|20:49:40|1|5|PEATON   |
|142|20:49:42|1|1|PEATON   |
|144|20:49:46|1|3|PEATON   |
|148|20:49:53|1|2|PEATON   |
|152|20:50:02|1|5|PEATON   |
|154|20:50:09|1|2|PEATON   |
|158|20:50:21|1|2|PEATON   |
|168|20:50:36|1|4|PEATON   |
|169|20:50:40|1|1|PEATON   |
|172|20:50:47|1|3|PEATON   |
|173|20:50:51|1|1|PEATON   |
|174|20:50:53|1|4|PEATON   |
|175|20:50:54|1|5|PEATON   |
|176|20:50:58|1|5|PEATON   |
